Anime,Season,Anime Type,Episodes,Genres,Description,Characters,Recommendations
Karakai Jouzu no Takagi-san 3,Musim dingin 2022,TV,12,"Komedi, Iyashikei, Shounen","As summer break comes to an end, Nishikata is stoked to try out his newest pranks and finally outdo his classmate Takagi once and for all. Despite his losing streak, he is slowly getting to know the unrelenting workings of her crafty mind. However, he soon realizes that Takagi's motivations behind her teasing may not be what he initially assumed. One thing is certain, though: each fun-filled day of strategizing and competing brings the two closer than ever.

[Written by MAL Rewrite]","Takagi; Nishikata; Hibino, Mina; Nishikata, Chii; Kimura; Tsukimoto, Sanae; Tenkawa, Yukari; Houjou; Mano; Tanabe-sensei","Ijiranaide, Nagatoro-san, Horimiya, Tensai Ouji no Akaji Kokka Saisei Jutsu, JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2, Irodorimidori, Kimetsu no Yaiba: Mugen Ressha-hen, Kimetsu no Yaiba: Yuukaku-hen, Tomodachi Game, Summertime Render, Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart, Mushoku Tensei: Isekai Ittara Honki Dasu Part 2, Komi-san wa, Comyushou desu., Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei, Fate/kaleid liner Prisma☆Illya (Zoku-hen), Shin Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei, Jujutsu Kaisen 0 Movie"
Akebi-chan no Sailor-fuku,Musim dingin 2022,TV,12,"Sepotong Kehidupan, Sekolah","Ever since she was young, Komichi Akebi has always adored sailor uniforms, even going so far as to ask her mother to sew one if she succeeds in getting into her mother's alma mater, Roubai Academy. And thus, when she gets accepted into the prestigious school, Komichi is ecstatic. However, much to her surprise, the middle school no longer uses sailor uniforms as its dress code—making Komichi stand out from her schoolmates. Despite this, Komichi is granted permission to continue wearing the traditional attire. 

With renewed confidence, Komichi meets fascinating classmates as they experience school life together. Under the colorful shower of blossoming prospects, an exciting tomorrow awaits them!

[Written by MAL Rewrite]","Akebi, Komichi; Kizaki, Erika; Akebi, Kao; Hiraiwa, Hotaru; Usagihara, Touko; Kamimoku, Neko; Hebimori, Oshizu; Togano, Mai; Kojou, Tomono; Tanigawa, Kei","Hitoribocchi no Marumaru Seikatsu, K-On!, Super Cub, Komi-san wa, Comyushou desu., Non Non Biyori, Asobi Asobase, Tsuki ga Kirei, Gochuumon wa Usagi Desu ka?, Little Witch Academia (TV), Shadows House, Yuru Camp△, Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita, Sora yori mo Tooi Basho, Hibike! Euphonium, Platinum End, Komi-san wa, Comyushou desu. 2nd Season"
Sasaki to Miyano,Musim dingin 2022,TV,12,"Cowok Cinta, Budaya Otaku","Yoshikazu Miyano's troubles first start one hot summer day when Shuumei Sasaki steps into his life. Sasaki saves Miyano's classmate from a group of bullies, and after that, Miyano cannot seem to shake off his eccentric upperclassman. His silent admiration for Sasaki gradually sours into annoyance each time the so-called delinquent refuses to leave him alone. Constantly being called by cute nicknames and having his boundaries ignored, Miyano wonders why Sasaki wants to get close to him.

The shy and easily flustered Miyano harbors an embarrassing secret—he is a ""fudanshi,"" a boy who likes boys' love (BL) manga. The last thing he wants is for other students to find out, but through a slip of the tongue, he reveals the truth to Sasaki. Intrigued, the clueless Sasaki asks to borrow a book to read, which he is given very reluctantly. To Miyano's surprise, Sasaki enjoys the BL that he receives and asks for more, marking a shift in their strange dynamic.

Although Sasaki appears to possess some personal agenda, his feelings for Miyano become complicated the more time they spend together. As they now share a common interest, their relationship is poised to change and further develop.

[Written by MAL Rewrite]
","Sasaki, Shuumei; Miyano, Yoshikazu; Hirano, Taiga; Hanzawa, Masato; Kagiura, Akira; Tashiro, Gonzaburou; Kuresawa, Tasuku; Ogasawara, Jirou; Shirahama, Kyouji; Sasaki, Keiko","Given, Horimiya, Doukyuusei (Movie), SK∞, Yagate Kimi ni Naru, Watashi ga Motete Dousunda, Adachi to Shimamura, Yuri!!! on Ice, ReLIFE, Tanaka-kun wa Itsumo Kedaruge, Semantic Error, Magia Record: Mahou Shoujo Madoka☆Magica Gaiden Final Season - Asaki Yume no Akatsuki, Leadale no Daichi nite, Uramichi Oniisan, Mieruko-chan, "
Koroshi Ai,Musim dingin 2022,TV,12,"Aksi, Pemeran Dewasa, Josei","Novice bounty hunter Chateau Dankworth never expected to encounter someone capable of overpowering her in combat. Even less so that the mysterious man would take an immediate interest in her—to the point of aiding her missions. However, Chateau makes it clear that she has no plans of entertaining any personal involvement with him.

Chateau's company is soon tasked with eliminating Song Ryang-ha—an expert assassin and a former member of a powerful Asian organization. Coincidentally, Ryang-ha is the man that has been pursuing her. Despite his background, Chateau reluctantly agrees to meet with Ryang-ha as part of a deal: in exchange for going out with him, he will provide her with the locations of current targets, dead or alive.

But when the past begins to haunt both killers, their arrangement may need to come to an end, as their entanglement puts their lives at grave risk.

[Written by MAL Rewrite]","Song, Ryang-ha; Dankworth, Chateau; Jim; Nikka; Ritzland, Euripides; Dankworth, Abel; Dankworth, Anna; Ritzland, Hawke; Woo, Seung; Jinon, Won","Satsuriku no Tenshi, Koe no Katachi, Hakata Tonkotsu Ramens, Spy x Family, Kaichou wa Maid-sama!, Koi to Yobu ni wa Kimochi Warui, Violet Evergarden, Yuusha, Yamemasu, Lupin III: Part 6, Dolls' Frontline, Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru, On Air Dekinai!, Baraou no Souretsu Recap, Platinum End, Kage no Jitsuryokusha ni Naritakute!, Mieruko-chan"
Fantasy Bishoujo Juniku Ojisan to,Musim dingin 2022,TV,12,"Petualangan, Gag Humor","Since their days as students, Tsukasa Jinguuji has had incredible luck with women due to his good looks; Hinata Tachibana has had almost none, overshadowed by Jinguuji's brilliance. However, while Jinguuji has never shown interest in the opposite sex, Tachibana is always desperate for a girlfriend. Despite their polar differences, they continue to be best friends even in their thirties as salarymen. 

One night, the two are returning home from a mixer where Jinguuji was the center of attention as usual. In his drunken rambles, a frustrated Tachibana inadvertently wishes to become a beautiful girl with irresistible charm. As if the heavens were listening, a goddess suddenly shows herself before Jinguuji and Tachibana, transporting them to another world to defeat the Demon Lord and simultaneously granting Tachibana's desire.

Tachibana—now in the body of an impossibly perfect woman—has become so attractive that even Jinguuji is captivated. Moreover, Tachibana grows aware of Jinguuji's stunning appearance, finally understanding his popularity. Before they fall in love with each other, the duo must complete their mission or risk remaining prisoners to their infatuations forever.

[Written by MAL Rewrite]
","Tachibana, Hinata; Jinguuji, Tsukasa; von Liechtenstein Lohengramm, Schwartz; Shen; Lou, Tilolilo Lilili; Lucius; Yugrain; Muria; Goddess of Night; Goddess of Love and Beauty","Kenja no Deshi wo Nanoru Kenja, Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen, Kono Subarashii Sekai ni Shukufuku wo!, Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru, Tenshi na Konamaiki, Plunderer, Mahoujin Guruguru (2017), Gintama, Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta..., Gabriel DropOut, Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei, Isekai Ojisan, One Punch Man, , Orient: Awajishima Gekitou-hen, Senpai ga Uzai Kouhai no Hanashi"
Leadale no Daichi nite,Musim dingin 2022,TV,12,"Petualangan, Isekai","The previously bedridden Keina Kagami finds herself in the world of her favorite VRMMORPG—titled Leadale—after the life support keeping her alive fails. Reincarnated in the body of her high-level character, ""Cayna,"" she notices that the world of Leadale is different from what she remembers playing.

As she comes to learn, two hundred years have passed since she last interacted with the world. However, this does not sadden Cayna—as it means that a new journey awaits her, filled with exciting prospects and unfamiliar faces all waiting to be discovered.

[Written by MAL Rewrite]",Cayna; Mai-Mai; Kartatz; Roxilius; Skargo; Lytt; Roxine; Shining Saber; Eline; Luka,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita, Kuma Kuma Kuma Bear, Kenja no Deshi wo Nanoru Kenja, Kaichou wa Maid-sama!, Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu., Kami-tachi ni Hirowareta Otoko, Kono Subarashii Sekai ni Shukufuku wo!, Kenja no Mago, Isekai Maou to Shoukan Shoujo no Dorei Majutsu, Nichijou, Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita, Overlord, Aharen-san wa Hakarenai, , Kage no Jitsuryokusha ni Naritakute!, Seirei Gensouki"
Princess Connect! Re:Dive Season 2,Musim dingin 2022,TV,12,Aksi,"The members of the Gourmet Guild—Yuuki, Kokkoro, Pecorine, and Karyl—continue to scour the world in pursuit of their goal to seek out all delicious food in existence. However, as their adventures progress, the mysteries behind Yuuki's memories, Karyl's allegiance, and Pecorine's heritage begin to come together—seemingly forming the truth that makes up the world's very foundation.

[Written by MAL Rewrite]
",Karyl; Kokkoro; Pecorine; Yuuki; Eriko; Saren; Ameth; Hatsune; Miyako; Yui,"Yuusha, Yamemasu, Karakai Jouzu no Takagi-san Movie, Yami Shibai 10, Jahy-sama wa Kujikenai!, Akebi-chan no Sailor-fuku, Irodorimidori, Masamune-kun no Revenge R, Shachiku-san wa Youjo Yuurei ni Iyasaretai., 5-toubun no Hanayome Movie, Dolls' Frontline, Senpai ga Uzai Kouhai no Hanashi, Baraou no Souretsu, 86 Part 2, Tate no Yuusha no Nariagari Season 2, Kyokou Suiri 2nd Season, Kono Healer, Mendokusai"
Kenja no Deshi wo Nanoru Kenja,Musim dingin 2022,TV,12,"Petualangan, Isekai","With a dignified veteran's body and a long white beard, summoner mage Dunbalf was one of the strongest player characters in the virtual reality online multiplayer roleplaying game Ark Earth Online, even heralded as a one-man army. Together with the ""Nine Wise Mages"" and King Solomon, they formed the mage player Kingdom of Alcait. But one day, Dunbalf and the other Nine Wise Mages suddenly go missing, leaving no trace behind.

In an effort to spend his expiring credits, Dunbalf had purchased a cosmetic kit and tinkered with his character; however, he accidentally fell asleep during the customization process. Upon waking up, Dunbalf not only notices that the world of Ark Earth Online has become more realistic, but also discovers that he has turned into a cute girl! After reaching Alcait, he learns it has been 30 years since he supposedly disappeared.

Now tasked with finding the other missing mages by King Solomon, the avid role player proclaims his new identity as Mira—the Pupil of the Wise Man Dunbalf—and ventures forth to prove his legacy.

[Written by MAL Rewrite]
",Mira; Luminaria; Zeph; Solomon; Fricka; Tact; Emera; Asval; Artesia; Frone,"Fantasy Bishoujo Juniku Ojisan to, Leadale no Daichi nite, , Shingeki no Kyojin: The Final Season - Kanketsu-hen, Sabiiro no Armor: Reimei, Dolls' Frontline, Shin Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei, , Otome Game Sekai wa Mob ni Kibishii Sekai desu, Hakozume: Kouban Joshi no Gyakushuu, Masamune-kun no Revenge R, Shokei Shoujo no Virgin Road, Gensou Sangokushi: Tengen Reishinki, Kage no Jitsuryokusha ni Naritakute!, Ryman's Club, Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2"
Orient,Musim dingin 2022,TV,12,"Laga, Historis, Shounen","Freed from the rule of samurai 150 years ago, the people of Hinomoto live peaceful lives and revere their liberators—demons whose true forms remain elusive—as gods. Fated to mine rocks for the demons to feast on, Musashi knows the grim truth: humanity is enslaved by these otherworldly beings and the samurai are the last bastion fighting for freedom. Hiding his true opinion from his peers and growing distant from his childhood friend Kojirou Kanemaki, Musashi lives in angst until the day of his graduation.

When the fresh graduates arrive at the mine, they are horrified to see the inhumane treatment of miners and the uncanny physical appearance of their overseers. However, Musashi manages to endure thanks to Kojirou's help. As the demon leader wreaks havoc on the quarry, Musashi is saved once more from certain death by the Takeda samurai clan. Recovering from humiliation and yearning for adventure, Musashi embarks on a journey to become a samurai and form his own clan!

[Written by MAL Rewrite]
","Musashi; Hattori, Tsugumi; Kanemaki, Kojirou; Saruwatari, Michiru; Inukai, Shirou; Takeda, Naotora; Kokuyo no Megami; Naoe, Kanetatsu; Uesugi, Tatsuomi; Kosameda, Hideo","Black Clover, Magi: The Labyrinth of Magic, Edens Zero, Shingeki no Kyojin: Kuinaki Sentaku, Shaman King (2021), Saihate no Paladin 2nd Season, Ouji no Honmei wa Akuyaku Reijou, Akebi-chan no Sailor-fuku, Leadale no Daichi nite, Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita, Ao Ashi, Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru, Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu, Tales of Luminaria: The Fateful Crossroad, Cue!, Kyuuketsuki Sugu Shinu"
Ryman's Club,Musim dingin 2022,TV,12,"Olahraga, Tempat Kerja","The world of corporate badminton is not as easy as it seems. Although considered a former child prodigy, Mikoto Shiratori has not been living up to his potential as a badminton player for Mitsuhoshi Bank. Due to a past incident, Mikoto tries to transition from playing doubles to singles; nevertheless, he fails to produce positive results, much to his employer's dismay.

After being fired from the bank, Mikoto is recruited by the Sunlight Beverage corporate badminton team. Surprisingly, not only do practices start in the evening, but he also has to work in the sales department of the company by day. While this is not a novel arrangement, Mikoto had thought he was invited solely to play sports. To make matters worse, he is forced to compete in doubles despite his reluctance.

Struggling to adjust to his new professional life, Mikoto begins to doubt his decision to join the company. However, as he learns more about his latest teammates, he might just find the strength necessary to advance his badminton career.

[Written by MAL Rewrite]","Miyazumi, Tatsuru; Shiratori, Mikoto; Saeki, Souta; Takeda, Kouki; Saeki, Touya; Kirishima, Hayato; Oono, Yasuomi; Misora, Ayato; Usuyama, Toru; Ibuki, Sentarou","Hanebado!, SK∞, Love All Play, IDOLiSH7, Hakozume: Kouban Joshi no Gyakushuu, Kaze ga Tsuyoku Fuiteiru, Uramichi Oniisan, Haikyuu!!, 2.43: Seiin Koukou Danshi Volley-bu, Hakata Tonkotsu Ramens, Re-Main, Tensai Ouji no Akaji Kokka Saisei Jutsu, Deemo Movie: Sakura no Oto - Anata no Kanadeta Oto ga, Ima mo Hibiku, Tiger & Bunny 2, Fantasy Bishoujo Juniku Ojisan to, Kenja no Deshi wo Nanoru Kenja"
Tokyo 24-ku,Musim dingin 2022,TV,12,"Misteri, Kekuatan Super","In a special jurisdiction area built in Tokyo Bay commonly known as the 24th Ward, the population enjoys a very safe life thanks to the Hazard Cast—a surveillance system that predicts accidents and assists victims immediately. However, the system cannot foresee the exact nature of these accidents nor prevent them from happening.

Ran Akagi, Kouki Suidou, and Shuuta Aoi—a trio of friends nicknamed ""RGB"" due to their hair color—experienced the tragic nature of these limitations when Suidou's sister Asami passed away in a fire at her high school. A year later, Shuuta still blames himself for failing to save Asami, while Ran pursues his dream to become a famous street artist, and Kouki works in the Hazard Cast intervention unit.  

After the RGB trio reunites at a commemoration for the victims of the school fire, each of them receives a mysterious phone call. Bewildered to hear Asami's voice, the three friends are shown images of the future and asked to choose between two grim alternatives. Refusing to be bound by predetermined outcomes, the three tackle this troubling event head-on, marking the beginning of a series of cruel dilemmas that they will have to overcome in order to protect the 24th Ward and its people.

[Written by MAL Rewrite]
","Akagi, Ran; Aoi, Shuuta; Suidou, Kouki; Kinako; Sakuragi, Mari; Suidou, Asumi; Kunai; Shirakaba, Kozue; Shirakaba, Hiroki; Tsuzuragawa, Sakiko","Psycho-Pass, Kiznaiver, Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai., Engage Kiss, Mirai Nikki (TV), Vivy: Fluorite Eye's Song, Tokyo Revengers, Hakozume: Kouban Joshi no Gyakushuu, Slow Loop, Sasaki to Miyano, Baraou no Souretsu, Blue Thermal, Shokei Shoujo no Virgin Road, Visual Prison, Sono Bisque Doll wa Koi wo Suru, Koroshi Ai"
Baraou no Souretsu,Musim dingin 2022,TV,24,"Laga, Historis, Shoujo","Richard Plantagenet has dedicated his whole life to becoming strong enough to fight alongside his father, the Duke of York. Together they have waged war to reclaim the right to the throne of England from King Henry VI and the House of Lancaster. However, the young Richard hides a secret—one that his mother scorns him for, which the cruel voices in his head never fail to remind him of. Even amid his personal turmoil, he is fortunate to find solace in the light of his father's love. But when the War of the Roses takes a turn for the bloodier, the fervent ambitions of Richard grow while his old loyalties splinter, threatening to taint his family's path to glory.

[Written by MAL Rewrite]
","Richard III; Henry VI; Edward of Lancaster; Catesby, William; Stafford, Henry; Neville, Anne; Joan of Arc; Warwick; Edward of York; Edward of Middleham","Kuroshitsuji, Zetsuen no Tempest, Ginga Eiyuu Densetsu, Yuukoku no Moriarty, Orient, Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto, Mieruko-chan, Ninjala (TV), Yuusha, Yamemasu, Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru, Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart, Kenja no Deshi wo Nanoru Kenja, Chikyuugai Shounen Shoujo, Karakai Jouzu no Takagi-san 3, Kaguya-sama wa Kokurasetai: Ultra Romantic, Spy x Family"
Slow Loop,Musim dingin 2022,TV,12,"Sepotong Kehidupan, CGDCT","Since childhood, Hiyori Yamakawa has witnessed her father's various eccentricities, but one activity she has always loved doing with him is fly fishing—a complicated yet rewarding method of catching fish. Even after his sudden death, Hiyori still visits the seaside in her spare time, savoring the joy that her father's memento brings her.

Three years later, Hiyori's mother decides to remarry and arranges a dinner with her fiancé, his daughter, and Hiyori to celebrate. Anxious and wanting to pass the time, Hiyori goes to her usual fishing spot when a rather energetic girl named Koharu Minagi suddenly appears before her. The two soon become acquainted, with Koharu taking an interest in fly fishing herself. However, their meeting is more than just a coincidence: Koharu turns out to be Hiyori's future stepsibling, which is only the beginning of treasured memories the both of them will reel in as they foster their sisterhood.

[Written by MAL Rewrite]
","Minagi, Hiyori; Minagi, Koharu; Yoshinaga, Koi; Fukumoto, Futaba; Ninomiya, Aiko; Fukumoto, Ichika; Miyano, Kaede; Yamamoto; Yoshinaga, Tora; Yamazaki","Yuru Camp△, Houkago Teibou Nisshi, Koisuru Asteroid, Tamayura, Yama no Susume, Non Non Biyori, Yuru Camp△ Season 2, Barakamon, Super Cub, K-On!!, Tsuritama, Sansha Sanyou, K-On!, Gochuumon wa Usagi Desu ka?, Koufuku Graffiti, Deaimon, Shingeki no Kyojin: The Final Season - Kanketsu-hen, BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!, Sorairo Utility, Arifureta Shokugyou de Sekai Saikyou 2nd Season Special, Aharen-san wa Hakarenai, RPG Fudousan, Kimetsu no Yaiba: Yuukaku-hen, Akebi-chan no Sailor-fuku"
Kaijin Kaihatsu-bu no Kuroitsu-san,Musim dingin 2022,TV,12,"Komedi, Tempat Kerja","On the outside, Agastia is a firm specializing in entertainment, well-known for the theme park it operates. However, beneath such an exterior lies a monumental secret: Agastia is one of various highly advanced evil organizations that aim for world domination. Despite its true nature, the company boasts enticements that make it worthwhile to put up with the work environment. Led by its great leader Akashic, Agastia has recently become a frontrunner in reaching its fellow groups' common goal.

Working for Agastia's Monster Development Division, Touka Kuroitsu is a researcher who primarily does fieldwork due to the eccentricities of her seniors. Kuroitsu's everyday jobs also include giving abrupt presentations and proposals, meeting ridiculous expectations for monster designs, and accompanying said monsters to face inevitable defeat by Agastia's enemies. Nevertheless, nothing will stop Kuroitsu from doing her best if it means getting the promotion she desires!

[Written by MAL Rewrite]
","Bete, Wolf; Kuroitsu, Touka; Megistus; Hydra; Camula; Thunderbird, Cannon; Akashic; Mizuki, Karen; Elbucky; Adamant","Heppoko Jikken Animation Excel♥Saga, Sekai Seifuku: Bouryaku no Zvezda, Fuuto Tantei, Tenchi Souzou Design-bu, One Punch Man, Tokumu Sentai Shinesman, Nanbaka, Platinum End, Shingeki no Kyojin: The Final Season - Kanketsu-hen, Kono Healer, Mendokusai, Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita 2nd Season, Mahoutsukai Reimeiki, Tensai Ouji no Akaji Kokka Saisei Jutsu, Vanitas no Karte Part 2"
Hakozume: Kouban Joshi no Gyakushuu,Musim dingin 2022,TV,13,"Komedi, Pemeran Dewasa, Seinen","After graduating from high school, Mai Kawai's top priority was to find a job with a stable income to avoid turning out like her father. However, despite having taken a variety of civil service exams, she was faced with a harsh reality: nearly every institute denied her entry. The only place that accepted her was a police academy, which she reluctantly joined.

Even now that she is an actual police officer, the world continues to be cruel to Mai. Due to her profession, she unexpectedly receives constant criticism from disgruntled citizens. Disheartened by the hostile treatment, she decides to submit a letter of resignation after just a few months of employment.

But on the same day Mai chooses to quit, she meets Seiko Fuji—the former ace of the Criminal Affairs Division who is assigned as her new instructor. Finding her new coworker to be enchanting, Mai delays leaving and gives her uninspiring job a second chance.

[Written by MAL Rewrite]","Fuji, Seiko; Kawai, Mai; Makitaka, Miwa; Yamada, Takeshi; Chief Higashiiwa; Deputy Chief; Houjou, Tamotsu; Minamoto, Seiji","Uramichi Oniisan, Super Cub, Ryman's Club, Taiho Shichau zo (TV), Kochira Katsushikaku Kameari Kouenmae Hashutsujo, eX-Driver, Fugou Keiji: Balance:Unlimited, Rail Wars!, Nami yo Kiitekure, Psycho-Pass, Servant x Service, Shiroi Suna no Aquatope, Cue!, Orient, Odd Taxi Movie: In the Woods, Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2"
Dolls' Frontline,Musim dingin 2022,TV,12,"Aksi, Antropomorfik","After World War III decimated the world's population and rendered large amounts of land uninhabitable, various private military contractors began using combat androids—also known as ""T-Dolls""—to maintain peace in unstable countries. While they are physically superior to flesh-and-blood fighters, T-Dolls are incapable of formulating complex plans and thus require a human commander to issue orders.

Sangvis Ferri was an industry-leading T-Doll manufacturer until they attempted to install a specialized T-Doll as the company's sole commander—resulting in the immediate deaths of everyone at that facility. Seizing control of Sangvis factories, the rogue AI declared war on the remnants of mankind. Now facing a hostile robot invasion, Griffin & Kryuger is the only paramilitary organization strong enough to withstand confrontation and halt their destructive advances.

Investigating the events related to Sangvis Ferri's aggression, the elite task force ""Team Anti-Rain"" searches for highly confidential information in an abandoned warehouse, but they are shortly ambushed. Hoping to safeguard their findings, the group temporarily disbands and each Doll goes into hiding. Meanwhile, the lazy but gifted Gentiane is hired by Griffin as a rookie commander and given her critical first mission—track down Team Anti-Rain and recover the classified data before Sangvis Ferri can.

[Written by MAL Rewrite]",M4 SOPMOD II; M4A1; ST AR-15; M16A1; Kalina; Gentiane; UMP45; HK416; Negev; M14,"Gunslinger Girl, Azur Lane, Glamorous Heroes, Mahoutsukai Reimeiki, 180 Byou de Kimi no Mimi wo Shiawase ni Dekiru ka?, Futsal Boys!!!!!, Vanitas no Karte: En Route Pour le Gévaudan, Hairpin Double, Shenmue the Animation, Shingeki no Kyojin: The Final Season Part 2, Yuusha, Yamemasu, Sono Bisque Doll wa Koi wo Suru, Shaonu Qianxian: Renxing Xiao Juchang, 86 Part 2, Saiyuuki Reload: Zeroin, Sabikui Bisco"
Tribe Nine,Musim dingin 2022,TV,12,"Aksi, Olahraga Tim","Fed up with society, youngsters all around Neo-Tokyo formed tribes to find their place in the world. However, group loyalty among them grew fierce and often led to violence. As a countermeasure, the government implemented the XB Law—stating that the tribe conflict is to be resolved through Extreme Baseball. From players using extendable bats to pitchers wearing special equipment, Extreme Baseball is a futuristic version of the sport with modified rules, less restrictions, and bizarre applications of technology.

When a group of youngsters bullies spineless Haru Shirokane, he is saved by an unexpected pair: Shun Kamiya and Taiga. As it turns out, Shun is a star player of Extreme Baseball who leads the Minato Tribe, the top-ranked team in Minato City. Meanwhile, Taiga aims to defeat Shun in hopes of becoming the strongest in the sport. In a string of spontaneous events that allow Shun to discover their potential, Taiga and Haru are roped into joining the Minato Tribe.

As the tribes across Minato City face a new threat led by the mysterious Oujirou Otori, the Minato Tribe might just need the power of their two new rookies to overcome the clutches of evil.

[Written by MAL Rewrite]","Kamiya, Shun; Arisugawa, Saori; Taiga; Aoyama, Kazuki; Shirokane, Haru; Mita, Santarou; Daimon, Manami; Otori, Oujirou; Yukigaya, Enoki; Kamiki, Yui","Shakunetsu Kabaddi, Akudama Drive, Subarashiki Kono Sekai The Animation, Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation, Yu☆Gi☆Oh!, Karakai Jouzu no Takagi-san 3, Hairpin Double, Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2, Mahoutsukai Reimeiki, Platinum End, Leadale no Daichi nite, Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru, Shuumatsu no Harem, Build Divide: Code White, Yuusha, Yamemasu, Blue Thermal"
Futsal Boys!!!!!,Musim dingin 2022,TV,12,"Olahraga, Olahraga Tim","Haru Yamato was never interested in futsal ever since the sport gained international fame 10 years ago. However, a chance to watch Japanese futsal player Tokinari Tennoji compete at the U-18 World Cup completely changed his perspective. When given the opportunity on his first day at Koyo Gakuen High School, Haru enthusiastically joins the futsal club.

There, he meets a variety of talented players including captain Toi Tsukioka, who was a part of the same U-18 team as Tennoji. Despite having a dynamic roster, the Koyo Futsal Club has a long way ahead when it comes to assembling a team that can stand up to powerhouse opponents—especially for Haru, who is a total beginner to the sport!

[Written by MAL Rewrite]","Yamato, Haru; Nagumo, Ryuu; Tsukioka, Toi; Amakado, Taiga; Sakaki, Seiichirou; Usami, Satoru; Yukinaga, Tsubaki; Futaba, Tomoe; Komori, Nozomi; Kyougoku, Sei","Haikyuu!!, Captain Tsubasa, 86 Part 2, Love All Play, Akebi-chan no Sailor-fuku, Magia Record: Mahou Shoujo Madoka☆Magica Gaiden Final Season - Asaki Yume no Akatsuki, Fantasy Bishoujo Juniku Ojisan to, Kyuuketsuki Sugu Shinu, Delicious Party♡Precure, Hua Kaizhang Meili, Sono Bisque Doll wa Koi wo Suru, Shingeki no Kyojin: The Final Season - Kanketsu-hen, Hairpin Double, Ryman's Club, Lupin III: Part 6, Hakozume: Kouban Joshi no Gyakushuu"
Cue!,Musim dingin 2022,TV,24,Idola (Wanita),"As a new agency, AiRBLUE's roster consists of voice actresses with absolutely no experience. Expecting to hone their skills and build courage at a gradual pace, the girls are taken aback when the head of their agency, Masaki Ootori, announces that they will be partaking in an audition for Bloomball—a popular sports manga receiving an anime adaptation. Despite all odds being stacked against them, each of the girls is now presented with a momentous chance to make their debut in the unrelenting world of voice acting. 

[Written by MAL Rewrite]","Mutsuishi, Haruna; Kujou, Yuzuha; Tendou, Yuuki; Maruyama, Rie; Kano, Shiho; Eniwa, Airi; Takatori, Maika; Toomi, Mei; Miyaji, Mahoro; Akagawa, Chisa","Shirobako, Sore ga Seiyuu!, The iDOLM@STER, Wake Up, Girls!, Re:Stage! Dream Days♪, Gi(a)rlish Number, Action Heroine Cheer Fruits, Glass no Kamen (2005), Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai, Love All Play, Vanitas no Karte Part 2, Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season, Yatogame-chan Kansatsu Nikki Yonsatsume, Irodorimidori, Shikkakumon no Saikyou Kenja, Dance Dance Danseur"
